index	label	network_label	label_7network	index_17network	label_17network	network_label_17network	atlas_name	network_id
1	LH_Vis_1	Vis	7Networks_LH_Vis_1	148.0	17Networks_LH_DorsAttnA_TempOcc_1	DorsAttnA	Schaefer2018N1000n7	
2	LH_Vis_2	Vis	7Networks_LH_Vis_2	5.0	17Networks_LH_VisCent_ExStr_1	VisCent	Schaefer2018N1000n7	
3	LH_Vis_3	Vis	7Networks_LH_Vis_3	151.0	17Networks_LH_DorsAttnA_TempOcc_4	DorsAttnA	Schaefer2018N1000n7	
4	LH_Vis_4	Vis	7Networks_LH_Vis_4	6.0	17Networks_LH_VisCent_ExStr_2	VisCent	Schaefer2018N1000n7	
5	LH_Vis_5	Vis	7Networks_LH_Vis_5	482.0	17Networks_LH_DefaultC_PHC_4	DefaultC	Schaefer2018N1000n7	
6	LH_Vis_6	Vis	7Networks_LH_Vis_6	7.0	17Networks_LH_VisCent_ExStr_3	VisCent	Schaefer2018N1000n7	
7	LH_Vis_7	Vis	7Networks_LH_Vis_7	152.0	17Networks_LH_DorsAttnA_TempOcc_5	DorsAttnA	Schaefer2018N1000n7	
8	LH_Vis_8	Vis	7Networks_LH_Vis_8	45.0	17Networks_LH_VisPeri_ExStrInf_1	VisPeri	Schaefer2018N1000n7	
9	LH_Vis_9	Vis	7Networks_LH_Vis_9	8.0	17Networks_LH_VisCent_ExStr_4	VisCent	Schaefer2018N1000n7	
10	LH_Vis_10	Vis	7Networks_LH_Vis_10	9.0	17Networks_LH_VisCent_ExStr_5	VisCent	Schaefer2018N1000n7	
11	LH_Vis_11	Vis	7Networks_LH_Vis_11	10.0	17Networks_LH_VisCent_ExStr_6	VisCent	Schaefer2018N1000n7	
12	LH_Vis_12	Vis	7Networks_LH_Vis_12	11.0	17Networks_LH_VisCent_ExStr_7	VisCent	Schaefer2018N1000n7	
13	LH_Vis_13	Vis	7Networks_LH_Vis_13	46.0	17Networks_LH_VisPeri_ExStrInf_2	VisPeri	Schaefer2018N1000n7	
14	LH_Vis_14	Vis	7Networks_LH_Vis_14	12.0	17Networks_LH_VisCent_ExStr_8	VisCent	Schaefer2018N1000n7	
15	LH_Vis_15	Vis	7Networks_LH_Vis_15	13.0	17Networks_LH_VisCent_ExStr_9	VisCent	Schaefer2018N1000n7	
16	LH_Vis_16	Vis	7Networks_LH_Vis_16	47.0	17Networks_LH_VisPeri_ExStrInf_3	VisPeri	Schaefer2018N1000n7	
17	LH_Vis_17	Vis	7Networks_LH_Vis_17	14.0	17Networks_LH_VisCent_ExStr_10	VisCent	Schaefer2018N1000n7	
18	LH_Vis_18	Vis	7Networks_LH_Vis_18	15.0	17Networks_LH_VisCent_ExStr_11	VisCent	Schaefer2018N1000n7	
19	LH_Vis_19	Vis	7Networks_LH_Vis_19	48.0	17Networks_LH_VisPeri_ExStrInf_4	VisPeri	Schaefer2018N1000n7	
20	LH_Vis_20	Vis	7Networks_LH_Vis_20	484.0	17Networks_LH_DefaultC_PHC_6	DefaultC	Schaefer2018N1000n7	
21	LH_Vis_21	Vis	7Networks_LH_Vis_21	155.0	17Networks_LH_DorsAttnA_TempOcc_8	DorsAttnA	Schaefer2018N1000n7	
22	LH_Vis_22	Vis	7Networks_LH_Vis_22	49.0	17Networks_LH_VisPeri_ExStrInf_5	VisPeri	Schaefer2018N1000n7	
23	LH_Vis_23	Vis	7Networks_LH_Vis_23	50.0	17Networks_LH_VisPeri_ExStrInf_6	VisPeri	Schaefer2018N1000n7	
24	LH_Vis_24	Vis	7Networks_LH_Vis_24	16.0	17Networks_LH_VisCent_ExStr_12	VisCent	Schaefer2018N1000n7	
25	LH_Vis_25	Vis	7Networks_LH_Vis_25	51.0	17Networks_LH_VisPeri_ExStrInf_7	VisPeri	Schaefer2018N1000n7	
26	LH_Vis_26	Vis	7Networks_LH_Vis_26	52.0	17Networks_LH_VisPeri_ExStrInf_8	VisPeri	Schaefer2018N1000n7	
27	LH_Vis_27	Vis	7Networks_LH_Vis_27	1.0	17Networks_LH_VisCent_Striate_1	VisCent	Schaefer2018N1000n7	
28	LH_Vis_28	Vis	7Networks_LH_Vis_28	17.0	17Networks_LH_VisCent_ExStr_13	VisCent	Schaefer2018N1000n7	
29	LH_Vis_29	Vis	7Networks_LH_Vis_29	18.0	17Networks_LH_VisCent_ExStr_14	VisCent	Schaefer2018N1000n7	
30	LH_Vis_30	Vis	7Networks_LH_Vis_30	2.0	17Networks_LH_VisCent_Striate_2	VisCent	Schaefer2018N1000n7	
31	LH_Vis_31	Vis	7Networks_LH_Vis_31	53.0	17Networks_LH_VisPeri_ExStrInf_9	VisPeri	Schaefer2018N1000n7	
32	LH_Vis_32	Vis	7Networks_LH_Vis_32	35.0	17Networks_LH_VisPeri_StriCal_1	VisPeri	Schaefer2018N1000n7	
33	LH_Vis_33	Vis	7Networks_LH_Vis_33	19.0	17Networks_LH_VisCent_ExStr_15	VisCent	Schaefer2018N1000n7	
34	LH_Vis_34	Vis	7Networks_LH_Vis_34	20.0	17Networks_LH_VisCent_ExStr_16	VisCent	Schaefer2018N1000n7	
35	LH_Vis_35	Vis	7Networks_LH_Vis_35	36.0	17Networks_LH_VisPeri_StriCal_2	VisPeri	Schaefer2018N1000n7	
36	LH_Vis_36	Vis	7Networks_LH_Vis_36	21.0	17Networks_LH_VisCent_ExStr_17	VisCent	Schaefer2018N1000n7	
37	LH_Vis_37	Vis	7Networks_LH_Vis_37	37.0	17Networks_LH_VisPeri_StriCal_3	VisPeri	Schaefer2018N1000n7	
38	LH_Vis_38	Vis	7Networks_LH_Vis_38	54.0	17Networks_LH_VisPeri_ExStrInf_10	VisPeri	Schaefer2018N1000n7	
39	LH_Vis_39	Vis	7Networks_LH_Vis_39	3.0	17Networks_LH_VisCent_Striate_3	VisCent	Schaefer2018N1000n7	
40	LH_Vis_40	Vis	7Networks_LH_Vis_40	4.0	17Networks_LH_VisCent_Striate_4	VisCent	Schaefer2018N1000n7	
41	LH_Vis_41	Vis	7Networks_LH_Vis_41	471.0	17Networks_LH_DefaultC_Rsp_1	DefaultC	Schaefer2018N1000n7	
42	LH_Vis_42	Vis	7Networks_LH_Vis_42	22.0	17Networks_LH_VisCent_ExStr_18	VisCent	Schaefer2018N1000n7	
43	LH_Vis_43	Vis	7Networks_LH_Vis_43	38.0	17Networks_LH_VisPeri_StriCal_4	VisPeri	Schaefer2018N1000n7	
44	LH_Vis_44	Vis	7Networks_LH_Vis_44	23.0	17Networks_LH_VisCent_ExStr_19	VisCent	Schaefer2018N1000n7	
45	LH_Vis_45	Vis	7Networks_LH_Vis_45	24.0	17Networks_LH_VisCent_ExStr_20	VisCent	Schaefer2018N1000n7	
46	LH_Vis_46	Vis	7Networks_LH_Vis_46	39.0	17Networks_LH_VisPeri_StriCal_5	VisPeri	Schaefer2018N1000n7	
47	LH_Vis_47	Vis	7Networks_LH_Vis_47	40.0	17Networks_LH_VisPeri_StriCal_6	VisPeri	Schaefer2018N1000n7	
48	LH_Vis_48	Vis	7Networks_LH_Vis_48	472.0	17Networks_LH_DefaultC_Rsp_2	DefaultC	Schaefer2018N1000n7	
49	LH_Vis_49	Vis	7Networks_LH_Vis_49	25.0	17Networks_LH_VisCent_ExStr_21	VisCent	Schaefer2018N1000n7	
50	LH_Vis_50	Vis	7Networks_LH_Vis_50	55.0	17Networks_LH_VisPeri_ExStrSup_1	VisPeri	Schaefer2018N1000n7	
51	LH_Vis_51	Vis	7Networks_LH_Vis_51	41.0	17Networks_LH_VisPeri_StriCal_7	VisPeri	Schaefer2018N1000n7	
52	LH_Vis_52	Vis	7Networks_LH_Vis_52	42.0	17Networks_LH_VisPeri_StriCal_8	VisPeri	Schaefer2018N1000n7	
53	LH_Vis_53	Vis	7Networks_LH_Vis_53	26.0	17Networks_LH_VisCent_ExStr_22	VisCent	Schaefer2018N1000n7	
54	LH_Vis_54	Vis	7Networks_LH_Vis_54	27.0	17Networks_LH_VisCent_ExStr_23	VisCent	Schaefer2018N1000n7	
55	LH_Vis_55	Vis	7Networks_LH_Vis_55	474.0	17Networks_LH_DefaultC_Rsp_4	DefaultC	Schaefer2018N1000n7	
56	LH_Vis_56	Vis	7Networks_LH_Vis_56	56.0	17Networks_LH_VisPeri_ExStrSup_2	VisPeri	Schaefer2018N1000n7	
57	LH_Vis_57	Vis	7Networks_LH_Vis_57	43.0	17Networks_LH_VisPeri_StriCal_9	VisPeri	Schaefer2018N1000n7	
58	LH_Vis_58	Vis	7Networks_LH_Vis_58	28.0	17Networks_LH_VisCent_ExStr_24	VisCent	Schaefer2018N1000n7	
59	LH_Vis_59	Vis	7Networks_LH_Vis_59	159.0	17Networks_LH_DorsAttnA_ParOcc_2	DorsAttnA	Schaefer2018N1000n7	
60	LH_Vis_60	Vis	7Networks_LH_Vis_60	44.0	17Networks_LH_VisPeri_StriCal_10	VisPeri	Schaefer2018N1000n7	
61	LH_Vis_61	Vis	7Networks_LH_Vis_61	160.0	17Networks_LH_DorsAttnA_ParOcc_3	DorsAttnA	Schaefer2018N1000n7	
62	LH_Vis_62	Vis	7Networks_LH_Vis_62	57.0	17Networks_LH_VisPeri_ExStrSup_3	VisPeri	Schaefer2018N1000n7	
63	LH_Vis_63	Vis	7Networks_LH_Vis_63	476.0	17Networks_LH_DefaultC_Rsp_6	DefaultC	Schaefer2018N1000n7	
64	LH_Vis_64	Vis	7Networks_LH_Vis_64	29.0	17Networks_LH_VisCent_ExStr_25	VisCent	Schaefer2018N1000n7	
65	LH_Vis_65	Vis	7Networks_LH_Vis_65	30.0	17Networks_LH_VisCent_ExStr_26	VisCent	Schaefer2018N1000n7	
66	LH_Vis_66	Vis	7Networks_LH_Vis_66	58.0	17Networks_LH_VisPeri_ExStrSup_4	VisPeri	Schaefer2018N1000n7	
67	LH_Vis_67	Vis	7Networks_LH_Vis_67	59.0	17Networks_LH_VisPeri_ExStrSup_5	VisPeri	Schaefer2018N1000n7	
68	LH_Vis_68	Vis	7Networks_LH_Vis_68	31.0	17Networks_LH_VisCent_ExStr_27	VisCent	Schaefer2018N1000n7	
69	LH_Vis_69	Vis	7Networks_LH_Vis_69	60.0	17Networks_LH_VisPeri_ExStrSup_6	VisPeri	Schaefer2018N1000n7	
70	LH_Vis_70	Vis	7Networks_LH_Vis_70	32.0	17Networks_LH_VisCent_ExStr_28	VisCent	Schaefer2018N1000n7	
71	LH_Vis_71	Vis	7Networks_LH_Vis_71	61.0	17Networks_LH_VisPeri_ExStrSup_7	VisPeri	Schaefer2018N1000n7	
72	LH_Vis_72	Vis	7Networks_LH_Vis_72	33.0	17Networks_LH_VisCent_ExStr_29	VisCent	Schaefer2018N1000n7	
