index	label	network_label	label_7network	index_17network	label_17network	network_label_17network	atlas_name	network_id
73	LH_Vis_73	Vis	7Networks_LH_Vis_73	62.0	17Networks_LH_VisPeri_ExStrSup_8	VisPeri	Schaefer2018N1000n7	
74	LH_Vis_74	Vis	7Networks_LH_Vis_74	163.0	17Networks_LH_DorsAttnA_ParOcc_6	DorsAttnA	Schaefer2018N1000n7	
75	LH_Vis_75	Vis	7Networks_LH_Vis_75	63.0	17Networks_LH_VisPeri_ExStrSup_9	VisPeri	Schaefer2018N1000n7	
76	LH_Vis_76	Vis	7Networks_LH_Vis_76	64.0	17Networks_LH_VisPeri_ExStrSup_10	VisPeri	Schaefer2018N1000n7	
77	LH_Vis_77	Vis	7Networks_LH_Vis_77	34.0	17Networks_LH_VisCent_ExStr_30	VisCent	Schaefer2018N1000n7	
78	LH_Vis_78	Vis	7Networks_LH_Vis_78	65.0	17Networks_LH_VisPeri_ExStrSup_11	VisPeri	Schaefer2018N1000n7	
79	LH_Vis_79	Vis	7Networks_LH_Vis_79	66.0	17Networks_LH_VisPeri_ExStrSup_12	VisPeri	Schaefer2018N1000n7	
80	LH_Vis_80	Vis	7Networks_LH_Vis_80	166.0	17Networks_LH_DorsAttnA_SPL_2	DorsAttnA	Schaefer2018N1000n7	
81	LH_Vis_81	Vis	7Networks_LH_Vis_81	363.0	17Networks_LH_ContC_pCun_5	ContC	Schaefer2018N1000n7	
82	LH_SomMot_1	SomMot	7Networks_LH_SomMot_1	134.0	17Networks_LH_SomMotB_Aud_1	SomMotB	Schaefer2018N1000n7	
83	LH_SomMot_2	SomMot	7Networks_LH_SomMot_2	135.0	17Networks_LH_SomMotB_Aud_2	SomMotB	Schaefer2018N1000n7	
84	LH_SomMot_3	SomMot	7Networks_LH_SomMot_3	137.0	17Networks_LH_SomMotB_Aud_4	SomMotB	Schaefer2018N1000n7	
85	LH_SomMot_4	SomMot	7Networks_LH_SomMot_4	138.0	17Networks_LH_SomMotB_Aud_5	SomMotB	Schaefer2018N1000n7	
86	LH_SomMot_5	SomMot	7Networks_LH_SomMot_5	139.0	17Networks_LH_SomMotB_Aud_6	SomMotB	Schaefer2018N1000n7	
87	LH_SomMot_6	SomMot	7Networks_LH_SomMot_6	140.0	17Networks_LH_SomMotB_Aud_7	SomMotB	Schaefer2018N1000n7	
88	LH_SomMot_7	SomMot	7Networks_LH_SomMot_7	492.0	17Networks_LH_TempPar_8	TempPar	Schaefer2018N1000n7	
89	LH_SomMot_8	SomMot	7Networks_LH_SomMot_8	141.0	17Networks_LH_SomMotB_Aud_8	SomMotB	Schaefer2018N1000n7	
90	LH_SomMot_9	SomMot	7Networks_LH_SomMot_9	142.0	17Networks_LH_SomMotB_Aud_9	SomMotB	Schaefer2018N1000n7	
91	LH_SomMot_10	SomMot	7Networks_LH_SomMot_10	143.0	17Networks_LH_SomMotB_Aud_10	SomMotB	Schaefer2018N1000n7	
92	LH_SomMot_11	SomMot	7Networks_LH_SomMot_11	133.0	17Networks_LH_SomMotB_Ins_1	SomMotB	Schaefer2018N1000n7	
93	LH_SomMot_12	SomMot	7Networks_LH_SomMot_12	120.0	17Networks_LH_SomMotB_S2_1	SomMotB	Schaefer2018N1000n7	
94	LH_SomMot_13	SomMot	7Networks_LH_SomMot_13	495.0	17Networks_LH_TempPar_11	TempPar	Schaefer2018N1000n7	
95	LH_SomMot_14	SomMot	7Networks_LH_SomMot_14	144.0	17Networks_LH_SomMotB_Aud_11	SomMotB	Schaefer2018N1000n7	
96	LH_SomMot_15	SomMot	7Networks_LH_SomMot_15	145.0	17Networks_LH_SomMotB_Aud_12	SomMotB	Schaefer2018N1000n7	
97	LH_SomMot_16	SomMot	7Networks_LH_SomMot_16	121.0	17Networks_LH_SomMotB_S2_2	SomMotB	Schaefer2018N1000n7	
98	LH_SomMot_17	SomMot	7Networks_LH_SomMot_17	122.0	17Networks_LH_SomMotB_S2_3	SomMotB	Schaefer2018N1000n7	
99	LH_SomMot_18	SomMot	7Networks_LH_SomMot_18	146.0	17Networks_LH_SomMotB_Aud_13	SomMotB	Schaefer2018N1000n7	
100	LH_SomMot_19	SomMot	7Networks_LH_SomMot_19	497.0	17Networks_LH_TempPar_13	TempPar	Schaefer2018N1000n7	
101	LH_SomMot_20	SomMot	7Networks_LH_SomMot_20	147.0	17Networks_LH_SomMotB_Aud_14	SomMotB	Schaefer2018N1000n7	
102	LH_SomMot_21	SomMot	7Networks_LH_SomMot_21	123.0	17Networks_LH_SomMotB_S2_4	SomMotB	Schaefer2018N1000n7	
103	LH_SomMot_22	SomMot	7Networks_LH_SomMot_22	124.0	17Networks_LH_SomMotB_S2_5	SomMotB	Schaefer2018N1000n7	
104	LH_SomMot_23	SomMot	7Networks_LH_SomMot_23	498.0	17Networks_LH_TempPar_14	TempPar	Schaefer2018N1000n7	
105	LH_SomMot_24	SomMot	7Networks_LH_SomMot_24	125.0	17Networks_LH_SomMotB_S2_6	SomMotB	Schaefer2018N1000n7	
106	LH_SomMot_25	SomMot	7Networks_LH_SomMot_25	126.0	17Networks_LH_SomMotB_S2_7	SomMotB	Schaefer2018N1000n7	
107	LH_SomMot_26	SomMot	7Networks_LH_SomMot_26	127.0	17Networks_LH_SomMotB_S2_8	SomMotB	Schaefer2018N1000n7	
108	LH_SomMot_27	SomMot	7Networks_LH_SomMot_27	128.0	17Networks_LH_SomMotB_S2_9	SomMotB	Schaefer2018N1000n7	
109	LH_SomMot_28	SomMot	7Networks_LH_SomMot_28	129.0	17Networks_LH_SomMotB_S2_10	SomMotB	Schaefer2018N1000n7	
110	LH_SomMot_29	SomMot	7Networks_LH_SomMot_29	130.0	17Networks_LH_SomMotB_S2_11	SomMotB	Schaefer2018N1000n7	
111	LH_SomMot_30	SomMot	7Networks_LH_SomMot_30	131.0	17Networks_LH_SomMotB_S2_12	SomMotB	Schaefer2018N1000n7	
112	LH_SomMot_31	SomMot	7Networks_LH_SomMot_31	132.0	17Networks_LH_SomMotB_S2_13	SomMotB	Schaefer2018N1000n7	
113	LH_SomMot_32	SomMot	7Networks_LH_SomMot_32	109.0	17Networks_LH_SomMotB_Cent_1	SomMotB	Schaefer2018N1000n7	
114	LH_SomMot_33	SomMot	7Networks_LH_SomMot_33	110.0	17Networks_LH_SomMotB_Cent_2	SomMotB	Schaefer2018N1000n7	
115	LH_SomMot_34	SomMot	7Networks_LH_SomMot_34	111.0	17Networks_LH_SomMotB_Cent_3	SomMotB	Schaefer2018N1000n7	
116	LH_SomMot_35	SomMot	7Networks_LH_SomMot_35	112.0	17Networks_LH_SomMotB_Cent_4	SomMotB	Schaefer2018N1000n7	
117	LH_SomMot_36	SomMot	7Networks_LH_SomMot_36	113.0	17Networks_LH_SomMotB_Cent_5	SomMotB	Schaefer2018N1000n7	
118	LH_SomMot_37	SomMot	7Networks_LH_SomMot_37	114.0	17Networks_LH_SomMotB_Cent_6	SomMotB	Schaefer2018N1000n7	
119	LH_SomMot_38	SomMot	7Networks_LH_SomMot_38	115.0	17Networks_LH_SomMotB_Cent_7	SomMotB	Schaefer2018N1000n7	
120	LH_SomMot_39	SomMot	7Networks_LH_SomMot_39	186.0	17Networks_LH_DorsAttnB_PostC_3	DorsAttnB	Schaefer2018N1000n7	
121	LH_SomMot_40	SomMot	7Networks_LH_SomMot_40	116.0	17Networks_LH_SomMotB_Cent_8	SomMotB	Schaefer2018N1000n7	
122	LH_SomMot_41	SomMot	7Networks_LH_SomMot_41	117.0	17Networks_LH_SomMotB_Cent_9	SomMotB	Schaefer2018N1000n7	
123	LH_SomMot_42	SomMot	7Networks_LH_SomMot_42	67.0	17Networks_LH_SomMotA_1	SomMotA	Schaefer2018N1000n7	
124	LH_SomMot_43	SomMot	7Networks_LH_SomMot_43	118.0	17Networks_LH_SomMotB_Cent_10	SomMotB	Schaefer2018N1000n7	
125	LH_SomMot_44	SomMot	7Networks_LH_SomMot_44	68.0	17Networks_LH_SomMotA_2	SomMotA	Schaefer2018N1000n7	
126	LH_SomMot_45	SomMot	7Networks_LH_SomMot_45	190.0	17Networks_LH_DorsAttnB_PostC_7	DorsAttnB	Schaefer2018N1000n7	
127	LH_SomMot_46	SomMot	7Networks_LH_SomMot_46	119.0	17Networks_LH_SomMotB_Cent_11	SomMotB	Schaefer2018N1000n7	
128	LH_SomMot_47	SomMot	7Networks_LH_SomMot_47	69.0	17Networks_LH_SomMotA_3	SomMotA	Schaefer2018N1000n7	
129	LH_SomMot_48	SomMot	7Networks_LH_SomMot_48	70.0	17Networks_LH_SomMotA_4	SomMotA	Schaefer2018N1000n7	
130	LH_SomMot_49	SomMot	7Networks_LH_SomMot_49	71.0	17Networks_LH_SomMotA_5	SomMotA	Schaefer2018N1000n7	
131	LH_SomMot_50	SomMot	7Networks_LH_SomMot_50	72.0	17Networks_LH_SomMotA_6	SomMotA	Schaefer2018N1000n7	
132	LH_SomMot_51	SomMot	7Networks_LH_SomMot_51	73.0	17Networks_LH_SomMotA_7	SomMotA	Schaefer2018N1000n7	
133	LH_SomMot_52	SomMot	7Networks_LH_SomMot_52	74.0	17Networks_LH_SomMotA_8	SomMotA	Schaefer2018N1000n7	
134	LH_SomMot_53	SomMot	7Networks_LH_SomMot_53	204.0	17Networks_LH_DorsAttnB_FEF_3	DorsAttnB	Schaefer2018N1000n7	
135	LH_SomMot_54	SomMot	7Networks_LH_SomMot_54	75.0	17Networks_LH_SomMotA_9	SomMotA	Schaefer2018N1000n7	
136	LH_SomMot_55	SomMot	7Networks_LH_SomMot_55	76.0	17Networks_LH_SomMotA_10	SomMotA	Schaefer2018N1000n7	
137	LH_SomMot_56	SomMot	7Networks_LH_SomMot_56	77.0	17Networks_LH_SomMotA_11	SomMotA	Schaefer2018N1000n7	
138	LH_SomMot_57	SomMot	7Networks_LH_SomMot_57	78.0	17Networks_LH_SomMotA_12	SomMotA	Schaefer2018N1000n7	
139	LH_SomMot_58	SomMot	7Networks_LH_SomMot_58	79.0	17Networks_LH_SomMotA_13	SomMotA	Schaefer2018N1000n7	
140	LH_SomMot_59	SomMot	7Networks_LH_SomMot_59	194.0	17Networks_LH_DorsAttnB_PostC_11	DorsAttnB	Schaefer2018N1000n7	
141	LH_SomMot_60	SomMot	7Networks_LH_SomMot_60	80.0	17Networks_LH_SomMotA_14	SomMotA	Schaefer2018N1000n7	
142	LH_SomMot_61	SomMot	7Networks_LH_SomMot_61	81.0	17Networks_LH_SomMotA_15	SomMotA	Schaefer2018N1000n7	
143	LH_SomMot_62	SomMot	7Networks_LH_SomMot_62	82.0	17Networks_LH_SomMotA_16	SomMotA	Schaefer2018N1000n7	
144	LH_SomMot_63	SomMot	7Networks_LH_SomMot_63	206.0	17Networks_LH_DorsAttnB_FEF_5	DorsAttnB	Schaefer2018N1000n7	
145	LH_SomMot_64	SomMot	7Networks_LH_SomMot_64	83.0	17Networks_LH_SomMotA_17	SomMotA	Schaefer2018N1000n7	
146	LH_SomMot_65	SomMot	7Networks_LH_SomMot_65	84.0	17Networks_LH_SomMotA_18	SomMotA	Schaefer2018N1000n7	
147	LH_SomMot_66	SomMot	7Networks_LH_SomMot_66	85.0	17Networks_LH_SomMotA_19	SomMotA	Schaefer2018N1000n7	
148	LH_SomMot_67	SomMot	7Networks_LH_SomMot_67	86.0	17Networks_LH_SomMotA_20	SomMotA	Schaefer2018N1000n7	
149	LH_SomMot_68	SomMot	7Networks_LH_SomMot_68	87.0	17Networks_LH_SomMotA_21	SomMotA	Schaefer2018N1000n7	
150	LH_SomMot_69	SomMot	7Networks_LH_SomMot_69	88.0	17Networks_LH_SomMotA_22	SomMotA	Schaefer2018N1000n7	
151	LH_SomMot_70	SomMot	7Networks_LH_SomMot_70	89.0	17Networks_LH_SomMotA_23	SomMotA	Schaefer2018N1000n7	
152	LH_SomMot_71	SomMot	7Networks_LH_SomMot_71	90.0	17Networks_LH_SomMotA_24	SomMotA	Schaefer2018N1000n7	
153	LH_SomMot_72	SomMot	7Networks_LH_SomMot_72	91.0	17Networks_LH_SomMotA_25	SomMotA	Schaefer2018N1000n7	
154	LH_SomMot_73	SomMot	7Networks_LH_SomMot_73	92.0	17Networks_LH_SomMotA_26	SomMotA	Schaefer2018N1000n7	
155	LH_SomMot_74	SomMot	7Networks_LH_SomMot_74	93.0	17Networks_LH_SomMotA_27	SomMotA	Schaefer2018N1000n7	
156	LH_SomMot_75	SomMot	7Networks_LH_SomMot_75	94.0	17Networks_LH_SomMotA_28	SomMotA	Schaefer2018N1000n7	
157	LH_SomMot_76	SomMot	7Networks_LH_SomMot_76	95.0	17Networks_LH_SomMotA_29	SomMotA	Schaefer2018N1000n7	
158	LH_SomMot_77	SomMot	7Networks_LH_SomMot_77	96.0	17Networks_LH_SomMotA_30	SomMotA	Schaefer2018N1000n7	
159	LH_SomMot_78	SomMot	7Networks_LH_SomMot_78	97.0	17Networks_LH_SomMotA_31	SomMotA	Schaefer2018N1000n7	
160	LH_SomMot_79	SomMot	7Networks_LH_SomMot_79	200.0	17Networks_LH_DorsAttnB_PostC_17	DorsAttnB	Schaefer2018N1000n7	
161	LH_SomMot_80	SomMot	7Networks_LH_SomMot_80	98.0	17Networks_LH_SomMotA_32	SomMotA	Schaefer2018N1000n7	
162	LH_SomMot_81	SomMot	7Networks_LH_SomMot_81	99.0	17Networks_LH_SomMotA_33	SomMotA	Schaefer2018N1000n7	
163	LH_SomMot_82	SomMot	7Networks_LH_SomMot_82	100.0	17Networks_LH_SomMotA_34	SomMotA	Schaefer2018N1000n7	
164	LH_SomMot_83	SomMot	7Networks_LH_SomMot_83	201.0	17Networks_LH_DorsAttnB_PostC_18	DorsAttnB	Schaefer2018N1000n7	
165	LH_SomMot_84	SomMot	7Networks_LH_SomMot_84	101.0	17Networks_LH_SomMotA_35	SomMotA	Schaefer2018N1000n7	
166	LH_SomMot_85	SomMot	7Networks_LH_SomMot_85	102.0	17Networks_LH_SomMotA_36	SomMotA	Schaefer2018N1000n7	
167	LH_SomMot_86	SomMot	7Networks_LH_SomMot_86	103.0	17Networks_LH_SomMotA_37	SomMotA	Schaefer2018N1000n7	
168	LH_SomMot_87	SomMot	7Networks_LH_SomMot_87	104.0	17Networks_LH_SomMotA_38	SomMotA	Schaefer2018N1000n7	
169	LH_SomMot_88	SomMot	7Networks_LH_SomMot_88	105.0	17Networks_LH_SomMotA_39	SomMotA	Schaefer2018N1000n7	
170	LH_SomMot_89	SomMot	7Networks_LH_SomMot_89	106.0	17Networks_LH_SomMotA_40	SomMotA	Schaefer2018N1000n7	
171	LH_SomMot_90	SomMot	7Networks_LH_SomMot_90	107.0	17Networks_LH_SomMotA_41	SomMotA	Schaefer2018N1000n7	
172	LH_SomMot_91	SomMot	7Networks_LH_SomMot_91	108.0	17Networks_LH_SomMotA_42	SomMotA	Schaefer2018N1000n7	
173	LH_DorsAttn_Post_1	DorsAttn	7Networks_LH_DorsAttn_Post_1	149.0	17Networks_LH_DorsAttnA_TempOcc_2	DorsAttnA	Schaefer2018N1000n7	
174	LH_DorsAttn_Post_2	DorsAttn	7Networks_LH_DorsAttn_Post_2	303.0	17Networks_LH_ContA_Temp_1	ContA	Schaefer2018N1000n7	
175	LH_DorsAttn_Post_3	DorsAttn	7Networks_LH_DorsAttn_Post_3	150.0	17Networks_LH_DorsAttnA_TempOcc_3	DorsAttnA	Schaefer2018N1000n7	
176	LH_DorsAttn_Post_4	DorsAttn	7Networks_LH_DorsAttn_Post_4	153.0	17Networks_LH_DorsAttnA_TempOcc_6	DorsAttnA	Schaefer2018N1000n7	
177	LH_DorsAttn_Post_5	DorsAttn	7Networks_LH_DorsAttn_Post_5	154.0	17Networks_LH_DorsAttnA_TempOcc_7	DorsAttnA	Schaefer2018N1000n7	
178	LH_DorsAttn_Post_6	DorsAttn	7Networks_LH_DorsAttn_Post_6	305.0	17Networks_LH_ContA_Temp_3	ContA	Schaefer2018N1000n7	
179	LH_DorsAttn_Post_7	DorsAttn	7Networks_LH_DorsAttn_Post_7	156.0	17Networks_LH_DorsAttnA_TempOcc_9	DorsAttnA	Schaefer2018N1000n7	
180	LH_DorsAttn_Post_8	DorsAttn	7Networks_LH_DorsAttn_Post_8	182.0	17Networks_LH_DorsAttnB_TempOcc_1	DorsAttnB	Schaefer2018N1000n7	
181	LH_DorsAttn_Post_9	DorsAttn	7Networks_LH_DorsAttn_Post_9	183.0	17Networks_LH_DorsAttnB_TempOcc_2	DorsAttnB	Schaefer2018N1000n7	
182	LH_DorsAttn_Post_10	DorsAttn	7Networks_LH_DorsAttn_Post_10	157.0	17Networks_LH_DorsAttnA_TempOcc_10	DorsAttnA	Schaefer2018N1000n7	
183	LH_DorsAttn_Post_11	DorsAttn	7Networks_LH_DorsAttn_Post_11	158.0	17Networks_LH_DorsAttnA_ParOcc_1	DorsAttnA	Schaefer2018N1000n7	
184	LH_DorsAttn_Post_12	DorsAttn	7Networks_LH_DorsAttn_Post_12	161.0	17Networks_LH_DorsAttnA_ParOcc_4	DorsAttnA	Schaefer2018N1000n7	
